序号,提交答卷时间,所用时间,来源,来源详情,来自IP,总分,1、你的性别：,2、你的专业：,3、你的年级：,4、你的生源地,5、你每月的零花钱大概是,6、周六下午13:30，你刚睡醒午觉。室外万里无云。团支书昨天通知说今天15:00要在4km外的闵行公园举办主题团日活动。你对以下出行方式的偏好是—地铁/公交车,6、出租车/网约车,6、电动车/自行车,6、步行,7、周六下午13:30，你刚被闹钟叫醒。天气十分晴朗。你准备与同学一起去1.9公里外的高中参加14:00的招新宣讲。你对以下出行方式的偏好是—地铁/公交车,7、出租车/网约车,7、电动车/自行车,7、步行,8、周六下午13:30，天下着小雨。你和同学一起去16km外的富通大学参加14:00的学术会议。你对以下出行方式的偏好是—地铁/公交车,8、出租车/网约车,8、电动车/自行车,8、步行,9、周六下午13:30，天气晴朗。你准备与同学一起去1.6公里外的星星广场购物。你们约定15:00见面。你对以下出行方式的偏好是—地铁/公交车,9、出租车/网约车,9、电动车/自行车,9、步行,10、周六下午13:30，天高气爽。你和高中同学约好15:00去19km外的八宝古镇游览。你对以下出行方式的偏好是—地铁/公交车,10、出租车/网约车,10、电动车/自行车,10、步行,11、周六下午13:30，外面风雨交加。你的同学提醒你14:00要到1.9公里外的华东大学参加组会。你对以下出行方式的偏好是—地铁/公交车,11、出租车/网约车,11、电动车/自行车,11、步行,12、周六下午13:30，外面下着小雨。你与同学去1.8公里外的师范大学参加15:00的球赛。你对以下出行方式的偏好是—地铁/公交车,12、出租车/网约车,12、电动车/自行车,12、步行,13、周六下午13:30，外面下着小雨。高中同学拉你一起去4.4km外的兰香湖赏景。你们觉得15:00到都没关系。你对以下出行方式的偏好是—地铁/公交车,13、出租车/网约车,13、电动车/自行车,13、步行,14、周六下午13:30，天高气爽。你和高中同学约好14:00去15.6km外的城市剧院欣赏《魅影歌剧》。你对以下出行方式的偏好是—地铁/公交车,14、出租车/网约车,14、电动车/自行车,14、步行,15、周六下午13:30，天下着小雨。你和高中同学约好15:00去逛17km外的美丽城广场。你对以下出行方式的偏好是—地铁/公交车,15、出租车/网约车,15、电动车/自行车,15、步行,16、周六下午13:30，外面下着雨。很不幸你中午吃了不良食品，胃部十分疼痛，准备在30min内赶到5km外的第十医院就诊。你对以下出行方式的偏好是—地铁/公交车,16、出租车/网约车,16、电动车/自行车,16、步行,17、周六下午13:30，天高气爽。你与同学准备去5km外的YouMin影院观看15:00开始的电影《东西好》。你对以下出行方式的偏好是—地铁/公交车,17、出租车/网约车,17、电动车/自行车,17、步行
3,2024/12/13 19:06:21,121秒,微信,N/A,58.246.155.124(上海-上海),4200,1,3,2,3,3000,40,(空),60,(空),0,(空),100,0,100,(空),(空),(空),0,(空),(空),100,100,(空),(空),(空),100,(空),(空),(空),(空),100,(空),0,(空),(空),100,(空),100,(空),(空),(空),100,(空),(空),0,100,(空),(空),(空),100,(空),(空),(空)
4,2024/12/13 19:07:35,138秒,微信,N/A,58.247.22.242(上海-上海),5703,1,1,2,27,4503,(空),(空),(空),100,(空),(空),20,80,(空),100,(空),(空),(空),(空),(空),100,(空),100,(空),(空),(空),100,(空),(空),(空),(空),(空),100,(空),(空),(空),100,(空),60,(空),40,(空),100,(空),(空),(空),100,(空),(空),(空),(空),(空),100
5,2024/12/13 19:08:58,157秒,微信,N/A,58.247.23.178(上海-上海),3273,2,2,2,4,2134,(空),(空),100,(空),(空),(空),60,40,21,76,(空),(空),(空),(空),(空),100,100,(空),(空),(空),(空),(空),40,(空),(空),(空),(空),100,0,(空),100,(空),21,81,0,0,100,(空),(空),(空),(空),100,(空),(空),(空),(空),(空),100
6,2024/12/13 19:13:07,293秒,微信,N/A,58.247.22.242(上海-上海),3775,2,2,2,14,2604,19,37,59,(空),(空),(空),61,41,62,40,(空),(空),(空),(空),41,80,79,48,(空),(空),(空),40,0,(空),(空),(空),28,67,(空),(空),64,66,0,76,(空),(空),37,37,(空),(空),(空),100,(空),(空),(空),31,58,(空)
7,2024/12/13 19:15:30,219秒,微信,N/A,58.247.22.20(上海-上海),4800,1,2,1,33,3000,100,60,80,(空),40,70,100,50,40,100,(空),(空),20,40,100,70,60,50,(空),(空),(空),15,15,60,0,50,(空),40,60,60,(空),50,(空),100,(空),(空),70,80,(空),(空),(空),100,(空),(空),40,50,30,(空)
8,2024/12/13 19:22:52,214秒,微信,N/A,223.160.207.221(上海-上海),3791,1,2,4,26,2600,(空),(空),100,(空),(空),0,100,(空),(空),90,(空),(空),(空),(空),100,(空),90,(空),(空),(空),(空),91,80,(空),(空),(空),80,(空),(空),0,80,(空),80,(空),(空),(空),70,30,(空),0,(空),100,0,(空),(空),0,100,(空)
9,2024/12/13 19:24:41,291秒,微信,N/A,58.247.22.164(上海-上海),3889,1,2,1,33,2000,70,45,80,20,30,80,50,15,60,64,30,5,30,30,85,75,80,60,0,0,20,80,15,0,30,30,60,15,50,40,80,15,50,80,0,0,80,40,0,0,30,80,0,0,70,40,75,0
10,2024/12/13 19:30:57,769秒,微信,N/A,101.90.43.164(上海-上海),5821,1,1,2,26,4000,83,0,91,1,19,69,89,29,0,99,0,0,0,0,92,74,89,0,14,0,8,90,75,7,52,5,75,56,65,0,70,29,85,7,0,0,97,54,12,0,81,91,11,0,0,7,86,9
11,2024/12/13 19:31:57,282秒,微信,N/A,58.247.22.163(上海-上海),2700,2,1,2,26,1500,100,0,0,0,17,9,74,0,(空),100,(空),(空),50,0,50,0,100,0,0,0,0,100,0,0,21,79,0,0,48,52,0,0,0,100,0,0,100,0,0,0,0,100,0,0,85,15,0,0
12,2024/12/13 19:36:32,184秒,微信,N/A,101.82.182.11(上海-上海),3068,1,2,2,26,1728,59,40,20,0,0,0,70,10,70,100,0,0,(空),(空),100,20,100,31,0,0,0,0,100,0,0,0,100,0,0,0,100,20,0,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0
13,2024/12/13 19:37:43,308秒,微信,N/A,117.136.120.70(上海-上海),3204,1,2,2,26,2000,40,55,5,0,35,20,45,5,35,65,0,0,10,0,40,50,20,80,0,0,40,50,10,0,20,30,50,0,40,49,10,0,0,100,0,0,30,70,0,0,0,100,0,0,35,55,10,0
14,2024/12/13 19:41:52,334秒,微信,N/A,58.247.22.157(上海-上海),4164,1,2,1,33,3020,(空),(空),100,(空),(空),(空),100,(空),100,(空),(空),(空),(空),(空),84,15,100,42,(空),(空),(空),100,(空),(空),(空),(空),100,(空),(空),61,0,(空),70,(空),(空),(空),89,(空),(空),(空),100,(空),(空),(空),(空),83,(空),(空)
